date,game_id,team,score,2_point,3_point,free_draw,assist,offense,defense,steal,block,foul
2015. 11. 20,2.0151120706527E+018,KGC 인삼공사,89,0.62,0.37,0.77,26,5,21,16,3,15
2015. 11. 20,2.0151120706527E+018,전자랜드,70,0.47,0.47,0.58,16,9,23,4,2,18
2015. 12. 13,2.0151213101627E+018,모비스,83,0.69,0.33,0.73,23,7,18,7,5,13
2015. 12. 13,2.0151213101627E+018,동부,76,0.49,0.5,0.62,16,9,16,10,1,16
2016. 1. 24,2.0160124655027E+018,전자랜드,79,0.47,0.44,0.57,16,13,17,6,1,18
2016. 1. 24,2.0160124655027E+018,LG,89,0.54,0.52,0.76,23,10,20,8,5,17
2016. 10. 25,2.0161025357029E+016,삼성,114,0.72,0.47,0.71,28,6,25,14,3,23
2016. 10. 25,2.0161025357029E+016,KGC 인삼공사,91,0.5,0.44,0.67,21,10,14,7,1,21
2015. 10. 11,2.0151011355527E+017,삼성,85,0.55,0.27,0.7,15,10,26,5,2,19
2015. 10. 11,2.0151011355527E+017,SK,78,0.49,0.27,0.88,8,12,22,7,3,20
2015. 12. 23,2.0151223701027E+018,KGC 인삼공사,66,0.46,0.29,0.83,12,10,13,6,2,10
2015. 12. 23,2.0151223701027E+018,모비스,89,0.65,0.4,0.5,22,14,26,10,8,16
2016. 3. 9,2.0160309607027E+017,KCC,99,0.6,0.35,0.7,14,14,23,6,3,22
2016. 3. 9,2.0160309607027E+017,KGC 인삼공사,88,0.51,0.32,0.7,20,19,23,7,3,25
2015. 9. 12,2.0150912503527E+016,LG,85,0.59,0.26,0.79,16,15,20,3,1,16
2015. 9. 12,2.0150912503527E+016,삼성,81,0.6,0.24,0.63,23,14,18,9,1,20
2016. 10. 29,2.0161029501029E+017,LG,85,0.64,0.21,0.33,17,10,20,10,2,18
2016. 10. 29,2.0161029501029E+017,모비스,74,0.59,0.33,0.41,18,11,20,7,4,17
2015. 9. 15,2.0150915305527E+017,오리온,75,0.52,0.33,1,20,7,14,11,1,21
2015. 9. 15,2.0150915305527E+017,SK,68,0.57,0.21,0.69,20,15,22,3,5,17
2015. 10. 30,2.0151030356027E+017,삼성,94,0.55,0.43,0.8,22,19,18,10,4,17
2015. 10. 30,2.0151030356027E+017,KCC,89,0.5,0.53,0.94,14,11,15,8,1,23
2016. 1. 15,2.0160115557027E+018,SK,77,0.48,0.35,0.79,15,7,24,3,3,16
2016. 1. 15,2.0160115557027E+018,KGC 인삼공사,81,0.48,0.35,0.77,16,13,27,6,3,19
2016. 2. 17,2.0160217350627E+018,삼성,78,0.58,0.19,0.7,16,13,33,4,6,16
2016. 2. 17,2.0160217350627E+018,KT,71,0.54,0.28,0.75,12,3,20,8,1,15
2015. 9. 26,2.0150926500627E+017,LG,73,0.39,0.29,0.67,15,9,26,3,2,17
2015. 9. 26,2.0150926500627E+017,KT,83,0.52,0.38,0.46,19,9,32,5,2,20
2016. 11. 1,2.0161101650629E+017,전자랜드,73,0.39,0.39,0.64,15,12,29,12,6,20
2016. 11. 1,2.0161101650629E+017,KT,68,0.4,0.38,0.87,14,5,24,12,3,26
2016. 3. 23,2.0160323306027E+016,오리온스,92,0.45,0.48,0.88,21,14,24,7,2,16
2016. 3. 23,2.0160323306027E+016,KCC,70,0.4,0.38,0.91,10,13,22,4,3,19
2016. 2. 5,2.0160205065027E+018,KT,80,0.5,0.35,0.85,12,10,24,2,4,18
2016. 2. 5,2.0160205065027E+018,LG,82,0.48,0.48,0.5,15,10,19,5,2,23
2016. 2. 12,2.0160212705027E+018,KGC 인삼공사,96,0.63,0.47,0.73,22,5,19,8,4,23
2016. 2. 12,2.0160212705027E+018,LG,89,0.54,0.39,0.78,20,13,24,7,1,20
2015. 12. 12,2.0151212066527E+018,KT,70,0.51,0.23,0.67,18,13,26,5,2,16
2015. 12. 12,2.0151212066527E+018,전자랜드,84,0.38,0.52,0.69,20,15,24,5,3,25
2015. 11. 8,2.0151108166027E+017,동부,77,0.41,0.45,1,18,13,21,8,1,17
2015. 11. 8,2.0151108166027E+017,KCC,78,0.57,0.36,0.76,15,8,22,10,3,13
2015. 11. 22,2.0151122701027E+018,KGC 인삼공사,78,0.48,0.45,0.73,18,8,20,10,2,20
2015. 11. 22,2.0151122701027E+018,모비스,75,0.36,0.37,0.67,16,22,25,7,4,17
2016. 1. 3,2.0160103501627E+018,LG,82,0.62,0.25,0.8,20,12,16,4,1,17
2016. 1. 3,2.0160103501627E+018,동부,77,0.61,0.38,0.77,21,9,18,7,0,17
2016. 1. 21,2.0160121551627E+018,SK,83,0.55,0.44,0.59,19,9,23,11,2,16
2016. 1. 21,2.0160121551627E+018,동부,73,0.51,0.36,0.78,12,10,22,6,2,20
2015. 11. 22,2.0151122605027E+018,KCC,83,0.64,0.44,0.38,29,10,26,6,1,19
2015. 11. 22,2.0151122605027E+018,LG,73,0.46,0.5,0.53,20,7,17,8,0,14
2016. 2. 21,2.0160221300627E+018,오리온스,74,0.46,0.23,0.79,20,11,15,6,3,22
2016. 2. 21,2.0160221300627E+018,KT,77,0.6,0.29,0.85,13,12,30,6,2,15
2015. 9. 20,2.0150920300627E+017,오리온,86,0.51,0.47,1,20,5,20,8,0,16
2015. 9. 20,2.0150920300627E+017,KT,73,0.58,0.24,0.69,17,10,24,4,3,18
2016. 10. 30,2.0161030706029E+017,KGC 인삼공사,78,0.57,0.26,0.77,20,9,27,8,4,16
