date,game_id,team,score,Sucess_2,Trial_2,Sucess_3,Trial_3,success_free,trial_free,assist,offense,defense,steal,block,foul
2016. 10. 28,2.0161028706529E+017,KGC 인삼공사,87,25,42,7,18,16,22,21,5,25,6,3,22
2016. 10. 28,2.0161028706529E+017,전자랜드,86,22,37,8,29,18,29,21,13,24,5,4,22
2016. 10. 30,2.0161030555029E+017,SK,100,27,38,10,25,16,18,19,10,28,3,3,17
2016. 10. 30,2.0161030555029E+017,LG,82,26,52,7,24,9,12,17,16,14,5,0,19
2016. 10. 22,2.0161022306029E+016,오리온스,81,26,51,8,23,5,8,21,8,28,7,1,16
2016. 10. 22,2.0161022306029E+016,KCC,69,15,36,10,26,9,11,15,7,28,4,4,15
2016. 11. 3,2.0161103067029E+017,KT,70,17,38,9,32,9,12,21,11,24,7,1,19
2016. 11. 3,2.0161103067029E+017,KGC 인삼공사,94,32,52,7,21,9,15,24,11,31,8,0,18
2016. 11. 5,2.0161105167029E+017,동부,88,28,51,6,20,14,19,20,18,31,5,1,21
2016. 11. 5,2.0161105167029E+017,KGC 인삼공사,73,18,45,7,21,16,24,20,10,17,8,5,19
2016. 10. 29,2.0161029553029E+017,SK,83,25,48,8,25,9,12,16,13,22,5,2,13
2016. 10. 29,2.0161029553029E+017,오리온스,88,26,45,9,22,9,10,15,8,27,5,2,15
2016. 11. 5,2.0161105500629E+017,LG,71,22,39,6,22,9,12,11,11,20,7,2,20
2016. 11. 5,2.0161105500629E+017,KT,67,18,34,7,23,10,16,15,12,17,7,1,18
2016. 10. 23,2.0161023351029E+016,삼성,88,33,56,3,8,13,17,16,12,26,9,3,16
2016. 10. 23,2.0161023351029E+016,모비스,73,16,38,10,23,11,15,18,9,14,8,1,19
2016. 10. 22,2.0161022106529E+016,모비스,63,18,41,8,30,3,5,14,12,20,12,4,12
2016. 10. 22,2.0161022106529E+016,전자랜드,80,25,48,8,21,6,8,16,17,28,8,1,13
2016. 10. 30,2.0161030706029E+017,KGC 인삼공사,78,25,44,6,23,10,13,20,9,27,8,4,16
2016. 10. 30,2.0161030706029E+017,KCC,76,23,49,6,23,12,15,22,13,25,6,1,15
2016. 11. 6,2.0161106306529E+017,오리온스,82,31,52,4,14,8,19,17,11,24,4,2,18
2016. 11. 6,2.0161106306529E+017,전자랜드,80,28,53,4,17,12,17,16,12,22,8,4,20
2016. 10. 27,2.0161027300629E+017,오리온스,99,37,61,5,13,10,16,24,10,33,7,3,13
2016. 10. 27,2.0161027300629E+017,KT,67,18,42,7,26,10,13,19,9,20,4,1,18
2016. 10. 30,2.0161030651629E+017,전자랜드,80,24,40,8,27,8,11,19,8,16,11,0,19
2016. 10. 30,2.0161030651629E+017,동부,77,26,40,5,17,10,17,16,12,24,5,2,13
2016. 11. 6,2.0161106107029E+017,모비스,86,28,48,6,20,12,18,20,15,26,4,3,17
2016. 11. 6,2.0161106107029E+017,KGC 인삼공사,75,26,57,4,18,11,14,21,15,18,7,3,20
2016. 10. 29,2.0161029063529E+017,KT,93,23,43,12,30,11,17,24,12,16,9,1,20
2016. 10. 29,2.0161029063529E+017,삼성,90,34,55,4,17,10,13,22,16,23,7,1,23
2016. 10. 26,2.0161026106029E+016,모비스,71,21,44,4,16,17,25,17,8,19,6,8,20
2016. 10. 26,2.0161026106029E+016,KCC,73,26,54,3,9,12,15,12,11,23,5,4,23
2016. 10. 23,2.0161023160629E+016,동부,91,28,56,6,15,17,29,21,17,25,6,4,19
2016. 10. 23,2.0161023160629E+016,KT,85,16,32,11,35,20,26,19,13,23,12,4,27
2016. 11. 4,2.0161104356529E+017,삼성,76,27,52,3,15,13,22,17,12,31,4,3,21
2016. 11. 4,2.0161104356529E+017,전자랜드,75,22,44,5,23,16,23,11,11,23,11,6,24
2016. 11. 1,2.0161101650629E+017,전자랜드,73,18,46,7,18,16,25,15,12,29,12,6,20
2016. 11. 1,2.0161101650629E+017,KT,68,14,35,9,24,13,15,14,5,24,12,3,26
2016. 11. 5,2.0161105605529E+017,KCC,78,27,52,4,21,12,16,12,8,23,6,2,25
2016. 11. 5,2.0161105605529E+017,SK,82,12,38,11,20,25,31,11,10,33,4,2,19
2016. 10. 29,2.0161029501029E+017,LG,85,36,56,3,14,4,12,17,10,20,10,2,18
2016. 10. 29,2.0161029501029E+017,모비스,74,23,39,7,21,7,17,18,11,20,7,4,17
2016. 10. 25,2.0161025357029E+016,삼성,114,39,54,7,15,15,21,28,6,25,14,3,23
2016. 10. 25,2.0161025357029E+016,KGC 인삼공사,91,21,42,11,25,16,24,21,10,14,7,1,21
2016. 10. 28,2.0161028601629E+017,KCC,84,27,49,6,24,12,14,15,11,14,7,3,21
2016. 10. 28,2.0161028601629E+017,동부,94,25,44,9,18,17,20,23,10,29,4,2,17
2016. 11. 2,2.0161102161029E+017,동부,74,22,58,6,15,12,23,8,16,26,6,2,12
2016. 11. 2,2.0161102161029E+017,모비스,75,16,41,13,33,4,6,23,16,29,5,4,24
2016. 11. 4,2.0161104301029E+017,오리온스,83,26,50,3,17,22,31,13,9,29,8,2,16
2016. 11. 4,2.0161104301029E+017,모비스,71,16,40,8,25,15,22,21,8,31,4,4,27
2016. 10. 26,2.0161026165029E+016,동부,98,24,38,10,20,20,28,21,7,26,10,3,18
2016. 10. 26,2.0161026165029E+016,LG,71,22,47,5,18,12,18,11,11,19,7,0,25
2016. 10. 23,2.0161023605029E+016,KCC,67,19,50,6,17,11,15,16,11,23,5,2,16
2016. 10. 23,2.0161023605029E+016,LG,79,22,43,8,24,11,13,20,10,33,7,5,17
2016. 11. 6,2.0161106355529E+017,삼성,88,29,54,5,17,15,20,16,11,22,5,3,18
2016. 11. 6,2.0161106355529E+017,SK,84,26,48,5,14,17,17,19,5,25,4,7,21
2016. 11. 8,2.0161108603529E+017,KCC,72,21,50,6,20,12,19,17,15,18,8,2,19
2016. 11. 8,2.0161108603529E+017,삼성,86,24,38,10,19,8,12,20,7,28,6,3,21
2016. 11. 2,2.0161102353029E+017,삼성,107,29,53,8,26,25,32,26,12,32,5,4,18
2016. 11. 2,2.0161102353029E+017,오리온스,104,30,63,11,27,11,14,27,11,25,7,4,24
2016. 10. 22,2.0161022705529E+016,KGC 인삼공사,100,34,53,6,22,14,26,23,13,22,14,3,16
2016. 10. 22,2.0161022705529E+016,SK,95,23,38,12,29,13,17,19,9,25,8,2,24
